"Time","FT401","Pel_S400","Pth_S400","TT401","TT402"
2026-05-20 12:00:15,3.83,47.0,36.6,59.3,67.5
2026-05-20 12:00:30,3.81,46.9,36.9,59.3,67.6
2026-05-20 12:00:45,3.79,47.0,37.1,59.3,67.7
2026-05-20 12:01:00,3.76,47.1,36.9,59.3,67.8
2026-05-20 12:01:15,3.72,47.0,36.6,59.3,67.8
2026-05-20 12:01:30,3.68,47.1,36.1,59.4,67.8
2026-05-20 12:01:45,3.64,47.0,35.7,59.3,67.8
2026-05-20 12:02:00,3.60,47.1,35.4,59.3,67.8
2026-05-20 12:02:15,3.56,47.1,35.2,59.3,67.8
2026-05-20 12:02:30,3.54,44.1,35.2,59.3,67.9
2026-05-20 12:02:45,3.51,47.1,35.2,59.3,67.9
2026-05-20 12:03:00,3.48,47.2,35.3,59.2,68.0
2026-05-20 12:03:15,3.45,47.2,35.5,59.2,68.0
2026-05-20 12:03:30,3.44,45.1,35.8,59.1,68.1
2026-05-20 12:03:45,3.40,47.1,36.0,59.0,68.1
2026-05-20 12:04:00,3.38,47.0,36.4,58.9,68.3
2026-05-20 12:04:15,3.36,46.9,36.7,58.9,68.3
2026-05-20 12:04:30,3.35,47.0,36.8,58.9,68.4
2026-05-20 12:04:45,3.33,47.0,36.8,58.9,68.4
2026-05-20 12:05:00,3.32,47.0,36.7,58.9,68.4
2026-05-20 12:05:15,3.30,43.5,36.6,58.9,68.5
2026-05-20 12:05:30,3.27,47.0,36.5,58.9,68.5
2026-05-20 12:05:45,3.28,47.0,36.4,58.9,68.5
2026-05-20 12:06:00,3.27,47.1,36.4,58.9,68.6
2026-05-20 12:06:15,3.24,47.2,36.1,58.9,68.5
2026-05-20 12:06:30,3.23,47.2,35.9,59.0,68.6
2026-05-20 12:06:45,3.21,43.7,35.8,59.0,68.6
2026-05-20 12:07:00,3.19,47.2,35.6,58.9,68.6
2026-05-20 12:07:15,3.16,47.3,35.7,58.9,68.6
2026-05-20 12:07:30,3.14,44.2,35.8,58.8,68.8
2026-05-20 12:07:45,3.13,47.1,36.0,58.8,68.7
2026-05-20 12:08:00,3.11,47.1,36.1,58.7,68.7
2026-05-20 12:08:15,3.09,40.2,36.4,58.6,68.8
2026-05-20 12:08:30,3.07,47.4,36.3,58.6,68.9
2026-05-20 12:08:45,3.06,47.1,36.6,58.6,68.9
2026-05-20 12:09:00,3.06,44.6,36.8,58.6,68.9
2026-05-20 12:09:15,3.05,47.3,36.8,58.6,68.9
2026-05-20 12:09:30,3.03,42.5,36.8,58.6,69.0
2026-05-20 12:09:45,3.04,45.8,36.7,58.6,69.1
2026-05-20 12:10:00,3.03,47.4,36.7,58.7,69.1
2026-05-20 12:10:15,3.03,47.0,36.5,58.7,69.2
2026-05-20 12:10:30,3.03,47.4,36.5,58.8,69.2
2026-05-20 12:10:45,2.88,47.4,34.8,58.9,69.2
2026-05-20 12:11:00,2.92,41.9,34.7,58.9,69.2
2026-05-20 12:11:15,2.96,47.1,35.1,59.0,69.2
